Sentences,Types,Classification,Type,Classifications,Classifications_name
Learn to sew by making simple yet lovely fabric flowers.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Leave at least 3ft‚ A ft  along walking paths.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Lend me a dollar, can you ?.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Let it soak in.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Let the club do the work.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Let the guitar dry.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Let your flower pot dry.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Let your flower pot sit overnight.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Lift off.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Lift your pen between strokes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Limit the length of your calls on your cell phone.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Locate a healthy torrent.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Locate play zones.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Locate restaurants or picnic tables.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Locate the petting zoo.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Locate your cars 2 reverse light wires.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Log into your Amazon Prime account.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Look at man made offerings.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Look at photographs of lakes for inspiration.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Look at the subclasses around the subclass you selected for similar categories.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Look for the word Studless on the sidewall.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Look through your collection whenever you need a boost of creativity.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Look up the terms in the online database.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Lower the heated thermoplastic onto former over objects.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Lower the thermometer into a deep area of the pond.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Lower your voice and speak slowly in an even tone.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Maintain your tan.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make a hairline stroke with the pen to dot the letters i and j.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Make a large loop with the hose.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make a relaxing rain stick from a cardboard tube.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make a smaller laundry basket play tub within your bathtub.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make a SuperHero showing off their powers to make your own comic.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
"Make a thick, sturdy plate.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make an Itinerary.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make canvas shoes water resistant by applying beeswax.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make content that shows off your personality.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make it seem less scary.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make Peach with Colored Pencils.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make poseable cardboard animal stand-ups.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make ramen noodles in a coffee maker for a quick meal.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Make sure the intended recipient wants to take the call.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Make sure to use a pencil below the sound hole.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Make sure you have all the right tools on hand.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make sure you pack warm clothes.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make sure your documents are in the specified dimensions and written in English.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Make sure your pet gets enough exercise.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make sure your soil is well draining.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make the bottom of mount.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make the bridge.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make the neck.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make use of any vertical wall space thats available.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make use of offering for sale or selling the invention.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Make water look more realistic by incorporating nearby colors.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Make your own natural liquid food dye from fruits or vegetables.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Making the Sheet Holder Frame.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Map out your path through the zoo.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Mark your descenders in the space below the x height.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Match the existing color.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Measure and draw a grid.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Measure and draw cutting guidelines.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Measure and draw outside frame.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Measure and draw your guidelines.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Mist your air plants at least once a week to keep them hydrated.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Mix as a medium in pots.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Mix in 45 drops of yellow food coloring.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Mix media as necessary.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Moisturize your body.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Mold the tin foil around your head.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Mount the box.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Move things to your liking.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Move your whole hand and wrist when you are writing.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Never forget the person who loves you.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Nobody move!.,NON-INSTRUCTION,NON INSTRUCTION,0,6,NEGATIVE INSTRUCTION 
"Oh, do shut up!.",INSTRUCTION,SIMPLE INSTRUCTION,1,6,NEGATIVE INSTRUCTION 
"On top of the lighthouse roof, draw a ball with an antenna.",INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Open a new window in terminal.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Open notepad.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Open the Command Prompt window.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Open the foil and bring the corners into the center crease.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Open the foil and fold it in half to create a diamond.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Open the Run function on your computer.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Open your preferred web browser.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Open your web browser.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Opt for a 2mm to 3mm round nib with medium flexibility.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Opt for furniture that serves more than one purpose.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Organize cords at the edge of your desk with binder clips.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Organize cords using empty toilet paper tubes in a shoebox.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Organize your workspace.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pack a lunch.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pack for the trip.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pack sunscreen.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pack water.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Paint ocean waves by making stacked wavy lines.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Paint the first coat.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Paint the walls.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Paint your sculpture.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Participate in community projects.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pass the salt.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pay approval fees.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pay attention to design details and hardware used.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Pay attention to your voice.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pick a focal length.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pick the right time of day.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pit cherries quickly with a straw and a bottle.,INSTRUCTION,NON INSTRUCTION,1,2,MANDATORY INSTRUCTION
Place a rubber grommet around your camera cable.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place chew toys outside.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place each clump upside down on a paper towel.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place mounted air plants in a location that gets good air circulation.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place the cardboard strip under the lid.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place the cuttings somewhere with moderate sunlight.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place the lid on your shoe box.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place the objects to be molded on the platen top.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place the other cardboard strip under the lid and thread .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Place your furniture so it defines different spaces.,INSTRUCTION,SIMPLE INSTRUCTION,1,7,INSTRUCTION WITH REASON
Plan out your design.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Plan to go in stages.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Plant rose cuttings in pots.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Play around with your materials.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Play ball!.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Play now.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
play the music.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Play with a ball.,INSTRUCTION,INSTRUCTION WITH TOOL,1,1,SIMPLE INSTRUCTION
Play with your guitar.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Play your guitar.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Please be quiet in the library.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Please grant me a loan.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Please join me for dinner.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Please open the door quickly.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Poke four to six holes through the remaining two cardboard strips.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Polish the faded paint with the buffing compound.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Pour in bottle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Practice a line with a serif at the top and the bottom.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Practice active listening skills.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Practice as often as possible.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Practice lower case letters first, then upper case.",INSTRUCTION,SIMPLE INSTRUCTION,1,5,INSTRUCTION WITH SEQUENCE
Practice proper form while jogging.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Practice relaxation techniques.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Practice some more styles of lighthouses.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Prepare a tea or coffee.,INSTRUCTION,SIMPLE INSTRUCTION,1,3,INSTRUCTION WITH OPTION
Prepare to work directly with animals.,INSTRUCTION,SIMPLE INSTRUCTION,1,4,INSTRUCTION WITH PURPOSE
Pretend you are a camera and focus on a striking image.,INSTRUCTION,SIMPLE INSTRUCTION,1,2,MANDATORY INSTRUCTION
Prevent lost socks by pinning pairs before washing and drying.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Prevent scary thoughts.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Promote regrowth.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Protect the areas you don't want to paint.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Provide a safe and clean environment for your pet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Provide your pet with a healthy, balanced diet.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Punch four to six holes in a straight line 1 inch above.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Purchase a cell phone that rates are as low as possible on the scale of radiation emissions.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Put it in a separate file.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Put on a respirator and personal safety gear .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Put on tanning gloves.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Put the  file in the folder of the movie.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Rate the videos you have watched.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Read local newspaper archives.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Read the guidelines.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Read the website of your local zoo.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Receive your patent.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Recommend , food at each meal.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Reduce distractions as much as possible.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Reduce spinning by teeing the ball higher.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Reduce the odor of water based paint with vanilla extract.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Refine your simple drawings.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
reflect your style throughout your place.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Relax your muscles.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Relax, everybody.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remember me when we are parted.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remember you are interacting with a human.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remind yourself that the movie is not real.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remind yourself that the movie was not real.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remove any distractions from the vehicle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remove micro dirt.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remove stems from strawberries with a thick straw.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remove the flower from the stem.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remove the yolk from a cracked egg easily with a water bottle.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Remove your trunks interior panel.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Repeat regularly.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Repeat that 8-10 times for a set.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Repeat the process up to 3 times.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Replace your running shoes every 350 to 500 miles .,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Resist freezing.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Return to earth.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Return to the cord phone or land-line phone.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Review survey maps and field books.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
review.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Rip a 36 to 40 in piece of tin foil from the roll.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Rotate your hips vigorously.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Rub an automotive clay bar over the faded areas.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Rub wax onto the polished area with a microfiber cloth.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Run on an even, level surface when you are starting out.",INSTRUCTION,INSTRUCTION WITH SEQUENCE,1,1,SIMPLE INSTRUCTION
Run the camera cable into your trunk.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Run these various sites in separate windows.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Run your bat file.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sand the primer lightly with a 600 grit block.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sand the whole roof with a 400grit block.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Save Money.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Save your document as a bat file.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Scan the downloaded file for viruses.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Scour secondhand shops if you want.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Scrape through layers of paint.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Screw a magazine holder onto the back of a cabinet door to hold a hairdryer.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sculpt finer details.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sculpt with modeling clay.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Search for a torrent website.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Search for information online.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Search for money saving deals.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Search online for movie name with Subtitles.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Search the literature in your field.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Secure the remaining portion of the hose with zip ties.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Secure them with a knot.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
See movies on your computer.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Select a download location.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Select the movie you want to rate.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Set aside time every day to work or brainstorm so inspiration can strike.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Set specific running goals.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Set the thermometer probe 1 below the surface.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Set up a designated play area.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Set up a regular schedule.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Shade with the pencil.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Shape the boat onto your head.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Shape the remaining outline of the lighthouse.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Share wishes for someone.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Show your personality.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Shut the front door.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sign into your Amazon account.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
"Sketch a sports car to make a modern, angular cool drawing.",INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sketch Roses to do simple linework.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sketch the outline of a snowflake over the lines youÃ¢â‚¬â„¢ve drawn so far.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sketch your design.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sketch your favorite cool character from a book to bring them to life.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Sketching from Imagination.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Slather yourself with SPF15 tanning oil.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Smear some petroleum jelly on the lock.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Snap the wood off by twisting the wire cutters.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Soak a crusty paintbrush in vinegar for 30 minutes to ease cleaning.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Soak the plants for 15 minutes and shake off.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Socialize with your pet every day.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Somebody answer the phone!.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Somebody answer the phone!.,INSTRUCTION,NON INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spend more time in nature.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spend some time researching your pet.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spend time with friends or family.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spend time with friends or family.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spray compressed air into the lock.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
Spray each clump generously until the water is dripping off the leaves.,INSTRUCTION,SIMPLE INSTRUCTION,1,1,SIMPLE INSTRUCTION
